status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_262186410932193,https://www.facebook.com/150424302108405_262186410932193,https://wearemitu.com/bad-hombres/these-things-will-make-even-the-most-confident-dude-second-guess-himself/,This is too real.,Link,Beauty & Fashion,30/06/2017,0,0,1,0,,,
150424302108405_281089739041860,https://www.facebook.com/150424302108405_281089739041860,https://wearemitu.com/bad-hombres/this-artist-started-fuchila-fresheners-as-a-joke-now-its-a-full-on-business/,He literally came up with this idea while on the toilet.,Link,Latino Culture,9/08/2017,0,0,1,0,,,
150424302108405_280742799076554,https://www.facebook.com/150424302108405_280742799076554,https://wearemitu.com/bad-hombres/this-conversation-between-a-son-and-his-mom-is-way-too-real-for-every-guy-who-is-in-his-late-20s-and-single/,"She really just said, ‘Si no me vas a dar nietos, yo voy a rentar uno.'",Link,Family & Friends,8/08/2017,0,0,1,0,,,
150424302108405_240309159786585,https://www.facebook.com/150424302108405_240309159786585,https://wearemitu.com/bad-hombres/this-dominican-comic-got-hilariously-real-about-his-family-and-we-can-definitely-relate/,"Dominican or not, he has me dying.",Link,TV & Movies,17/05/2017,0,0,1,0,,,
150424302108405_241200186364149,https://www.facebook.com/150424302108405_241200186364149,https://wearemitu.com/bad-hombres/this-iconic-latino-actor-and-restauranteur-is-the-american-dream/,There's a donut shaped like a machete. I. Can't. Even...,Link,Food & Beverages,18/05/2017,0,0,1,0,,,
150424302108405_227579391059562,https://www.facebook.com/150424302108405_227579391059562,https://wearemitu.com/bad-hombres/this-is-how-condoms-are-giving-birth-to-cuban-ingenuity/,We don't need no stinking valves!,Link,Other,24/04/2017,0,0,1,0,,,
150424302108405_223481124802722,https://www.facebook.com/150424302108405_223481124802722,https://wearemitu.com/bad-hombres/this-is-how-youtube-taught-me-everything-i-know-about-love/,This is a game changer.,Link,Other,17/04/2017,0,0,1,0,,,
150424302108405_283381758812658,https://www.facebook.com/150424302108405_283381758812658,https://wearemitu.com/bad-hombres/this-is-the-kind-of-pressure-guys-have-to-deal-with-from-their-parents-as-they-start-hitting-their-late-20s/,"The most annoying question is, '¿Cuando me vas a dar nietos?'",Link,Family & Friends,17/08/2017,0,0,1,0,,,
150424302108405_253077355176432,https://www.facebook.com/150424302108405_253077355176432,https://wearemitu.com/bad-hombres/this-is-the-most-revealing-poll-youll-ever-take-about-your-pole/,"Haves or have-nots, what side are you on?",Link,Sex & Relationships,13/06/2017,0,0,1,0,,,
150424302108405_265704193913748,https://www.facebook.com/150424302108405_265704193913748,https://wearemitu.com/bad-hombres/this-is-why-family-road-trips-are-nothing-like-those-go-pro-travel-videos-you-see-all-over-the-internet/,Those silent-but-deadly farts are the worst.,Link,Family & Friends,7/07/2017,0,0,1,0,,,
150424302108405_231912783959556,https://www.facebook.com/150424302108405_231912783959556,https://wearemitu.com/bad-hombres/this-mexican-megacars-specs-are-insane-but-the-exterior-is-where-its-innovation-shines/,Its 0 to 62 is ridiculous.,Link,Sports,28/04/2017,0,0,1,0,,,
150424302108405_238367736647394,https://www.facebook.com/150424302108405_238367736647394,https://wearemitu.com/bad-hombres/this-mother-of-all-tacos-is-the-size-of-a-human-baby/,"Gives new meaning to the term ""food baby.""",Link,Food & Beverages,12/05/2017,0,0,1,0,,,
150424302108405_281831668967667,https://www.facebook.com/150424302108405_281831668967667,https://wearemitu.com/bad-hombres/this-rhode-island-city-filed-for-bankruptcy-then-a-young-latino-mayor-saved-the-city/,'Never in my life did I think I was going to be mayor.’,Link,Citizenship & Politics,12/08/2017,0,0,1,0,,,
150424302108405_282137632270404,https://www.facebook.com/150424302108405_282137632270404,https://wearemitu.com/bad-hombres/todays-google-doodle-recognized-the-birth-of-hip-hop-and-threw-some-love-at-famous-breakdancer-richard-crazy-legs-colon/,This is one of the coolest doodles yet.,Link,Music,12/08/2017,0,0,1,0,,,
150424302108405_243329436151224,https://www.facebook.com/150424302108405_243329436151224,https://wearemitu.com/bad-hombres/watch-this-dominicano-basketball-player-cuts-a-savage-wwe-worthy-wrestling-promo-during-post-game-interview/,OMG! He really goes in on those haters hard.,Link,Sports,23/05/2017,0,0,1,0,,,
150424302108405_230957430721758,https://www.facebook.com/150424302108405_230957430721758,https://wearemitu.com/bad-hombres/when-youre-a-latino-who-cant-handle-spicy-food/,Some people just can't stand the heat and I'm one of them.,Link,Latino Culture,26/04/2017,0,0,1,0,,,
150424302108405_234842886999879,https://www.facebook.com/150424302108405_234842886999879,https://wearemitu.com/bad-hombres/wtf-this-interview-with-a-rod-derek-jeter-is-awkward-af/,HOW is this guy a professional?,Link,Celebrity & Gossip,5/05/2017,0,0,1,0,,,
150424302108405_226865987797569,https://www.facebook.com/150424302108405_226865987797569,https://wearemitu.com/bad-hombres/wtf-this-is-why-you-should-always-have-find-my-phone-turned-on/,I'll keep it turned ON from now on!,Link,News & Issues,20/04/2017,0,0,1,0,,,
150424302108405_286626641821503,https://www.facebook.com/150424302108405_286626641821503,https://wearemitu.com/bad-hombres/yankees-tigers-got-brawl-miguel-cabrera-squared-austin-romine/,"Once the catcher's mask flew off, it was ON.",Link,Sports,24/08/2017,0,0,1,0,,,
150424302108405_251008145383353,https://www.facebook.com/150424302108405_251008145383353,https://wearemitu.com/comedy/chingo-bling-and-his-friends-get-real-about-their-family-issues-and-its-way-too-relatable/,It's like they're talking about my own family!! LOL,Link,Latino Culture,9/06/2017,0,0,1,0,,,
150424302108405_236650323485802,https://www.facebook.com/150424302108405_236650323485802,https://wearemitu.com/comedy/comedian-al-madrigal-drops-the-funny-and-real-talk-in-new-interview/,His podcast is about to blow up.,Link,Identities,10/05/2017,0,0,1,0,,,
150424302108405_256936198123881,https://www.facebook.com/150424302108405_256936198123881,https://wearemitu.com/entertainment/grab-your-lighters-cypress-hill-just-dropped-their-official-video-for-reefer-man/,I got a contact high from just watching this video.,Link,Music,20/06/2017,0,0,1,0,,,
150424302108405_236617360155765,https://www.facebook.com/150424302108405_236617360155765,https://wearemitu.com/entertainment/last-nights-canelo-vs-chavez-memes-mostly-focused-on-canelos-next-fight/,The second one is so accurate. :joy:,Link,Sports,8/05/2017,0,0,1,0,,,
150424302108405_238356083315226,https://www.facebook.com/150424302108405_238356083315226,https://wearemitu.com/no-pos-wow/julio-cesar-chavez-sr-says-his-son-doesnt-care-about-anything/,“Cuando a la persona le vale madre todo … las cosas no funcionan.”,Link,Sports,12/05/2017,0,0,1,0,,,
150424302108405_241411243009710,https://www.facebook.com/150424302108405_241411243009710,https://wearemitu.com/no-pos-wow/legendary-comedian-set-to-open-chicano-art-museum-in-california/,More proof that Chicanos can't be stopped.,Link,News & Issues,19/05/2017,0,0,1,0,,,
150424302108405_251555311995303,https://www.facebook.com/150424302108405_251555311995303,https://wearemitu.com/no-pos-wow/neymar-jr-and-guillermo-make-history-on-jimmy-kimmel-live/,I've watched this so many times and I still can't believe it.,Link,TV & Movies,12/06/2017,0,0,1,0,,,
150424302108405_187545068396328,https://www.facebook.com/150424302108405_187545068396328,https://www.wearemitu.com/bad-hombres/69-and-other-ways-sex-has-done-a-number-on-me/,"""Sometimes protection isn't enough.""",Link,Sex & Relationships,14/02/2017,0,0,1,0,,,
